1	0	337.882	25	0	270.3056	17.5	287.8056
2	71.24999612	171.9695	100	85.49999535	137.5756	70	293.0755953
3	142.4979081	102.5225	300	170.9974897	82.018	210	463.0154897
4	213.6864933	125.004	150	256.423792	100.0032	105	461.426992
5	284.4061012	239.667	50	341.2873214	191.7336	35	568.0209214
6	353.331461	421.2335	25	423.9977532	336.9868	17.5	778.4845532
7	417.9285105	615.9723	100	501.5142126	492.77784	70	1064.292053
8	474.9276503	760.7325	300	569.9131804	608.586	210	1388.49918
9	521.3671758	805.9577	150	625.640611	644.76616	105	1375.406771
10	555.5550063	706.1226	50	666.6660076	564.89808	35	1266.564088
11	577.4528391	337.882	25	692.9434069	270.3056	17.5	980.7490069
12	588.4319197	171.9695	100	706.1183036	137.5756	70	913.6939036
13	590.6719636	102.5225	300	708.8063563	82.018	210	1000.824356
14	586.5326781	125.004	150	703.8392138	100.0032	105	908.8424138
15	578.1076665	239.667	50	693.7291998	191.7336	35	920.4627998
16	567.0152462	421.2335	25	680.4182954	336.9868	17.5	1034.905095
17	554.377323	615.9723	100	665.2527876	492.77784	70	1228.030628
18	540.9029068	760.7325	300	649.0834882	608.586	210	1467.669488
19	527.0045715	805.9577	150	632.4054858	644.76616	105	1382.171646
20	512.9047939	706.1226	50	615.4857527	564.89808	35	1215.383833
21	498.7152025	337.882	25	598.458243	270.3056	17.5	886.263843
22	484.4880412	171.9695	100	581.3856494	137.5756	70	788.9612494
23	470.2461451	102.5225	300	564.2953742	82.018	210	856.3133742
24	455.998838	125.004	150	547.1986055	100.0032	105	752.2018055
25	441.7496736	239.667	50	530.0996083	191.7336	35	756.8332083
26	427.4999149	421.2335	25	512.9998979	336.9868	17.5	867.4866979
27	413.2499795	615.9723	100	495.8999754	492.77784	70	1058.677815
28	398.9999955	760.7325	300	478.7999946	608.586	210	1297.385995
29	384.7499991	805.9577	150	461.6999989	644.76616	105	1211.466159
30	370.4999998	706.1226	50	444.5999998	564.89808	35	1044.49808
31	356.25	337.882	25	427.5	270.3056	17.5	715.3056
32	342	171.9695	100	410.4	137.5756	70	617.9756
33	327.75	102.5225	300	393.3	82.018	210	685.318
34	313.5	125.004	150	376.2	100.0032	105	581.2032
35	299.25	239.667	50	359.1	191.7336	35	585.8336
36	285	421.2335	25	342	336.9868	17.5	696.4868
37	270.75	615.9723	100	324.9	492.77784	70	887.67784
38	256.5	760.7325	300	307.8	608.586	210	1126.386
39	242.25	805.9577	150	290.7	644.76616	105	1040.46616
40	228	706.1226	50	273.6	564.89808	35	873.49808
41	213.75	337.882	25	256.5	270.3056	17.5	544.3056
42	199.5	171.9695	100	239.4	137.5756	70	446.9756
43	185.25	102.5225	300	222.3	82.018	210	514.318
44	171	125.004	150	205.2	100.0032	105	410.2032
45	156.75	239.667	50	188.1	191.7336	35	414.8336
46	142.5	421.2335	25	171	336.9868	17.5	525.4868
47	128.25	615.9723	100	153.9	492.77784	70	716.67784
48	114	760.7325	300	136.8	608.586	210	955.386
49	99.75	805.9577	150	119.7	644.76616	105	869.46616
50	85.5	706.1226	50	102.6	564.89808	35	702.49808
